('README.md', 'ae4f9eb8a5dfc8c9a646e3b1e61b098bf205f2c228fb925da53cde4c6d6698e1', 'b5d7bc365db351945316b8b01d980bf6a8d7f67f555a3d3a8d23b64dc0773076', 'SHA256')
('ArchivoPruebaHIDS_0.txt', 'ef5479575811a224552d59276841d26890c0d9d2bdfa03d86f8528ee64b24c7c', '6ba83e8db24610c17b65f17301264c95069c0fb32221e5d64061d7147bac2efe', 'SHA256')
('ArchivoPruebaHIDS_1.txt', '9c68ab8d3892e0cce343f15e1890b2d504847980', '4386ded4ed588fb22436b23ee08892c10ce9b368', 'SHA1')
('ArchivoPruebaHIDS_2.txt', '4f9ae5de001b0e77ced7a79f1e6ef3467da0a062bf7d90a7ebd332b38e119a04', 'c459b2271c27d2c552a5253570ee3e775d621c56a2b422af282373ae4f85a18d', 'SHA256')
('ArchivoPruebaHIDS_3.txt', '3b1e4c6ac8e5f4a0f721681508ad7cd53c496e9e', 'f344964eb1dab26397639d9a9d2292b275842543', 'SHA1')
('ArchivoPruebaHIDS_4.txt', 'e1116eb10f6a51c786cee7492eb29053bdad3079', '999bd8454f55cb6fcfcde41f58c3da96d51d4922', 'SHA1')
('ArchivoPruebaHIDS_5.txt', '8694d84f0b8e8213b7017c8ae198276b347a74d5', '4f501b83654b608970f802b20cd3e2739770713f', 'SHA1')
('ArchivoPruebaHIDS_6.txt', '0cf4afd85ee574fd0ef1e12ae1162406c5d2e0231e43c5210472e54c8c5bd4cd', 'b2f0d7d0bbeea33493daa19717ab409c2f8bd2e787b5d660efbe24c8c0065628', 'SHA256')
('ArchivoPruebaHIDS_7.txt', '1b5d5c9e6e07f6629ee31445f1131b23bb3f9bf8c6df867b9ba236ff7ab5f241', '675701ecdf9f7dce6517e23fe0645514e6df53eb2ed925b8570eebf6f4ba9ab6', 'SHA256')
('ArchivoPruebaHIDS_8.txt', '1beaac49ddcc93ffa5e750fc90b35a51249b4e4ca84aefeacac74b97ebcf78b6', '4d6618edfa721eae78edff11690e329accc8e2e3ba936057e890819a63cc60ec', 'SHA256')
('ArchivoPruebaHIDS_9.txt', '6e2ea55b292d724d9cd9a4dea64d2d9b1241309809d814b45f4c9b08ff3fdf15', 'f7334adff6727d155a9aa0b1f4e8556bd23d1419d820146ddb347764b147052b', 'SHA256')
('ArchivoPruebaHIDS_10.txt', '8ccbfb21a93d7cf80bbbb66946d0ff101a7debd9', 'd0cf5593444bb09e6d466d781bd1ccd4a41246e1', 'SHA1')
('ArchivoPruebaHIDS_11.txt', 'e8dc99d8c3ebc43323778bb523af7f37b1af348ecbfabf1439443acc8f7bc0fa', 'f29ef068cded6ed6969f931c4bc75d15dcc8d323910346cfafdfd3870f68d39c', 'SHA256')
('ArchivoPruebaHIDS_12.txt', '5d0235b9caf7a6e8e0b4a8c33df57e347fa0c3d2', 'dee58a177543d28b7430c2000a54e70208c76409', 'SHA1')
('ArchivoPruebaHIDS_13.txt', '869531cc19efbc1aec82b66b5eb6f580c64fdef55ef4e4552c4a313bf40d1163', '3b659612f405b0028f1e7b16ab254c8034333719b1d9644a3698c246dfe8ac9c', 'SHA256')
('ArchivoPruebaHIDS_14.txt', '058da937733561533e9dd5cc4c020590bf4706fe9752b06529b3c066fb8655d3', '4ebb11755afdcfe2659617d36f0d9fdb967e8b16237b89ca79f810e7af7660a5', 'SHA256')
('ArchivoPruebaHIDS_15.txt', '4b50e86ff0c620ef9a361ce3ba4a54300a96f23269ef5d35ecbdbdc13e0e3248', 'b9baa8f293e925d7ac2504887a27a454154b5946668b6c8dbf232f12e2bab299', 'SHA256')
('ArchivoPruebaHIDS_16.txt', '16feacb893e40ad17b276f9e907802a699ca29e21f46db6626110cf55563fcb8', '7dc3604a24f3c727efceae3a7d1d1f4cfd4160235af6a0ec755adee8e435c1cb', 'SHA256')
('ArchivoPruebaHIDS_17.txt', '3c60ab90e62b9efff429690dc359143a9c0b28f3', '2b671caffcb5f301f1638174278f1766693fd099', 'SHA1')
('ArchivoPruebaHIDS_18.txt', '02f1bf8d293d7b73867aa7add66d97aadbf9f49736818e9f04b993f2e62a509c', 'b667fb723b159818a8251cc58b1a1240e13a98a9b1cde6c7b4a23584f9d07197', 'SHA256')
('ArchivoPruebaHIDS_19.txt', 'b1cb4ae5362422edf2101600d09a8905ae54eac2bea8292285c84f109c92c0b0', '399f6a1762a5fbdcebde8bccb1067b559d64bf7dc5893c82fdf22f6b51163df4', 'SHA256')
('ArchivoPruebaHIDS_20.txt', '5a2663be6588563b73419b073aaee3a8ab46b9fbe481d5dbf74d513c22d1224e', '4256238fd273902eaf078ce832ecb5674121d44aebb34e4f37ec69966fd06f3c', 'SHA256')
('ArchivoPruebaHIDS_21.txt', 'c0dcf1da21e4da57130ad222dca8579297ca08aee4be5eff3e9cd5fa2b923aaf', '19bfba244013e40515a6429b80dcdfb746bcba4e390bafc7e85bdfab87f25c8a', 'SHA256')
